4	IKIJA HIGH SCHOOL (SNR), IBEREKODO (COMBINED)	ABEOKUTA NORTH
5	IMALA COMMUNITY HIGH SCHOOL (SNR), IMALA (COMBINED)	ABEOKUTA NORTH
6	OKE-ONA GRAMMAR SCHOOL (SNR), OPEJI ROAD (COMBINED)	ABEOKUTA NORTH
7	OLORUNDA COMMUNITY HIGH SCHOOL (SNR), OLORUNDA (COMBINED)	ABEOKUTA NORTH
8	OLUMO HIGH SCHOOL (SNR), SABO (COMBINED)	ABEOKUTA NORTH
9	AGUNBIADE VICTORY HIGH SCHOOL, MAGBON (COMBINED)	ABEOKUTA SOUTH
10	ADIE-OWE COMMUNITY HIGH SCHOOL, KETU (COMBINED)	ADO ODO/OTA
11	AFRICAN CHURCH COMMUNITY HIGH SCHOOL, EWUPE (COMBINED)	ADO ODO/OTA
12	AGBARA GRAMMAR SCHOOL, AGBARA (COMBINED)	ADO ODO/OTA
13	ANSAR-UD-DEEN COMPREHENSIVE COLLEGE, ITELE (COMBINED)	ADO ODO/OTA
14	ARAROMI COMMUNITY HIGH SCHOOL, ORITA (COMBINED)	ADO ODO/OTA
15	COMMUNITY HIGH SCHOOL, IGBALA (COMBINED)	ADO ODO/OTA
16	COMMUNITY SECONDARY SCHOOL, OKO-BAALE (COMBINED)	ADO ODO/OTA
17	EJILA AWORI COMMUNITY HIGH SCHOOL, IPATIRA (COMBINED)	ADO ODO/OTA
18	GBENOPO COMMUNITY GRAMMAR SCHOOL, BANDU (COMBINED)	ADO ODO/OTA
19	GOVERNMENT SCIENCE AND TECHNICAL COLLEGE, IGBESA (COMBINED)	ADO ODO/OTA
20	ILOGBO ASOWO COMMUNITY HIGH SCHOOL, ILOGBO (COMBINED)	ADO ODO/OTA
21	IYESI-OTA HIGH SCHOOL, IYESI (COMBINED)	ADO ODO/OTA
22	OKE-ORE GRAMMAR SCHOOL, OKE-ORE (COMBINED)	ADO ODO/OTA
23	OWODE-OTA GRAMMAR SCHOOL, IJAKO (COMBINED)	ADO ODO/OTA
24	ST. MICHAELS HIGH SCHOOL, OTA (COMBINED)	ADO ODO/OTA
25	TOYON HIGH SCHOOL, ERE (COMBINED)	ADO ODO/OTA
26	YEMAA COMMUNITY GRAMMAR SCHOOL, AROMOKALA (COMBINED)	ADO ODO/OTA
27	ADEOYE LAMBO MEMORIAL HIGH SCHOOL, OBADA-OKO(COMBINED)	EWEKORO
28	AKIN OGUNPOLA MODEL SCHOOL, AKINALE.(COMBINED)	EWEKORO
29	COMMUNITY COMPREHENSIVE HIGH SCHOOL, OWOWO.(COMBINED)	EWEKORO
30	OLORUNDA COMMUNITY HIGH SCHOOL, OLORUNDA.(COMBINED)	EWEKORO
31	UNITED COMPREHENSIVE HIGH SCHOOL, WASINMI.(COMBINED)	EWEKORO
32	COKER AREA COMPREHENSIVE HIGH SCHOOL,COKER (COMBINED)	IFO
33	COMMUNITY HIGH SCHOOL AKUTE (COMBINED)	IFO
34	COMMUNITY HIGH SCHOOL, MOBOLUWADURO (COMBINED)	IFO
35	COMMUNITY HIGH SCHOOL, ODEWALE (COMBINED)	IFO
36	COMMUNITY HIGH SCHOOL, OLUKE (COMBINED)	IFO
37	COMMUNITY HIGH SCHOOL,OKUNGBOLU (COMBINED)	IFO
38	IBOGUN COMPREHENSIVE HIGH SCHOOL,EGBEDA (COMBINED)	IFO
39	IGBORE ROBIYAN COMMUNITY HIGH SCHOOL, ROBIYAN (COMBINED)	IFO
40	IGBUSI COMPREHENSIVE HIGH SCHOOL, IGBUSI (COMBINED)	IFO
41	MATOGBUN COMMUNITY HIGH SCHOOL, MATOGBUN (COMBINED)	IFO
42	AJEBANDELE HIGH SCHOOL, AJEBANDELE (COMBINED)	IJEBU EAST
43	COMMUNITY COMPREHENSIVE HIGH SCHOOL, J4/J6 (COMBINED)	IJEBU EAST
44	COMMUNITY GRAMMAR SCHOOL, OWU/IKIJA (COMBINED)	IJEBU EAST
45	COMMUNITY HIGH SCHOOL, AWOTUNDE (COMBINED)	IJEBU EAST
46	COMMUNITY HIGH SCHOOL, OLOOJI AREA J4 (COMBINED)	IJEBU EAST
47	COMPREHENSIVE HIGH SCHOOL, IJEBU IMUSIN (COMBINED)	IJEBU EAST
48	EHIN OSUN COMMUNITY HIGH SCHOOL, EGBEDA, OJELANA (COMBINED)	IJEBU EAST
49	IJEBU IFE COMMUNITY GRAMMAR SCHOOL, IJEBU IFE (COMBINED)	IJEBU EAST
50	IMOBI COMMUNITY HIGH SCHOOL, OKE IGBAGA (COMBINED)	IJEBU EAST
51	OKE IMOBI COMMUNITY GRAMMAR SCHOOL, TERELU IMOBI (COMBINED)	IJEBU EAST
52	PLANTATION HIGH SCHOOL, AREA J4 (COMBINED)	IJEBU EAST
53	OLOKINE GRAMMAR SCHOOL IJEBU-IGBO (COMBINED)	IJEBU NORTH
54	ALARO COMMUNITY HIGH SCHOOL (COMBINED)	IJEBU NORTH-EAST
55	IDOMILA COMPREHENSIVE HIGH SCHOOL (COMBINED)	IJEBU NORTH-EAST
56	ILUGUN CENTRAL ACADEMY (COMBINED)	IJEBU NORTH-EAST
57	ODOPOTU COMMUNITY GRAMMAR SCHOOL (COMBINED)	IJEBU NORTH-EAST
58	OKE-ERI COMPREHENSIVE HIGH SCHOOL (COMBINED)	IJEBU NORTH-EAST
59	RALUWEN HIGH SCHOOL (COMBINED)	IJEBU NORTH-EAST
60	ANSAR-UD-DEEN HIGH SCHOOL, ISIWO (COMBINED)	IJEBU ODE
61	(COMBINED)	IJEBU ODE
62	ITAMAPAKO HIGH SCHOOL, ILOTI (COMBINED)	IJEBU ODE
63	OBAFEMI AWOLOWO COMP, HIGH SCHOOL, ODONOKO (COMBINED)	IJEBU ODE
