NAME OF SCHOOL
MOLUSI COLLEGE SENIOR IJEBU IGBO
IJEBU IGBO GIRLS GRAMMAR SCHOOL SENIOR IJEBU-IGBO
LADUGBO COMMUNITY COMPREHENSIVE HIGH SCHOOL IJEBU IGBO
MAMU COMMUNITY COMPREHENSIVE HIGH SCHOOL MAMU IJEBU
OLOKINE GRAMMAR SCHOOL IJEBU-IGBO
"Isoyin Grammar School, Junior."
"Ogbogbo Baptist Grammar School,Junior."
"Ilese Comprehensive High School, Junior"
"Deyo-Tuwo Comprehensive High School, Junior"
"Isoyin Grammar School, Senior."
"Ogbogbo Baptist Grammar School, Senior."
"Ilese Comprehensive High School, Senior."
"deyo-Tuwo Comprehensive High School, Senior."
"Odopotu Community High School, Odopotu."
"Alaro Community High School, Odosenlu."
"Raluwen High School, Atan."
"Idomila Comprehensive High School, Idomila."
"Ilugun Central Academy ,Ibido/Odosenbora."
"Oke-Eri Comprehensive High School, Oke-Eri."
"ADENRELE HIGH SCHOO (JUNIOR), IFO"
"N.U.D GRAMMAR SCHOOL (JUNIOR),SOLU"
AGBADO DISTRICT COMPREHENSIVE HIGH SCHOOL(JNR) OKE-ARO
"AJUWON HIGH SCHOOL (JUNIOR),AJUWON"
ANGLICAN GRAMMAR SCHOOL (JUNIOR) OKENLA
COMM. HIGH SCH.(JUNIOR) OJODU-ABIODUN
"IFO HIGH SCHOOL (JUNIOR),IFO"
"ITOKI COMMUNITY HIGH  SCHOOL(JUNIOR), ITOKI."
"PAKOTO HIGH SCHOOL (JUNIOR), AYEDE"
"ADENRELE HIGH SCHOO (SENIOR), IFO"
"N.U.D GRAMMAR SCHOOL (SENIOR),SOLU"
AGBADO DISTRICT COMPREHENSIVE HIGH SCHOOL(SNR) OKE-ARO
"AJUWON HIGH SCHOOL (SENIOR),AJUWON"
ANGLICAN GRAMMAR SCHOOL SNR OKENLA
COMM. HIGH SCH.(SNR) OJODU-ABIODUN
"IFO HIGH SCHOOL (SENIOR),IFO"
"ITOKI COMMUNITY HIGH  SCHOOL(SENIOR), ITOKI."
"PAKOTO HIGH SCHOOL (SENIOR), AYEDE"
"COKER AREA COMPREHENSIVE HIGH SCHOOL,COKER"
COMMUNITY HIGH SCHOOL AKUTE
"COMMUNITY HIGH SCHOOL, MOBOLUWADURO"
"COMMUNITY HIGH SCHOOL, ODEWALE "
"COMMUNITY HIGH SCHOOL,OKUNGBOLU"
"COMMUNITY HIGH SCHOOL, OLUKE"
"IBOGUN COMPREHENSIVE HIGH SCHOOL,EGBEDA"
MATOGBUN COMMUNITY HIGH SCHOOL
"OKEPATA COMMUNITY COMMUNITY HIGH SCHOOL,IFO"
"IGBORE ROBIYAN COMMUNITY HIGH SCHOOL, ROBIYAN"
"OLAMBE COMMUNITY COMPREHENSIVE HIGH SCHOOL, OLAMBE"
"IBOGUN OLAOGUN COMMUNITY HIGH SCHOOL, IBOGUN OLAOGUN"
"IGBUSI COMPREHENSIVE HIGH SCHOOL, IGBUSI"
"COMMUNITY COMMERCIAL HIGH SCHOOL, MAUN"
"COMMUNITY JUNIOR SECONDARY SCHOOL, IPOKIA"
"IKO GATEWAY GRAMMAR SCHOOL, IDIROKO"
OJUMO COMMUNITY SECONDARY SCHOOL IHUNBO 
"COMMUNITY HIGH SCHOOL, TUBE"
"AGOSASA COMMUNITY SECONDARY, AGOSASA"
